Quantity,Designator,Description,Case/Package,Supplier 1,JLCPCB,Manufacturer 1,Manufacturer Part Number 1,Name

"1","L1","2.2uH ±10% 2.45A 60mO SMD,3.0x3.0x1.5mm Power Inductors RoHS","","Mouser","C43389","TDK","VLS3015CX-2R2M-1","SWPA3015S2R2MT"
"1","D2","SEMTECH - SRV05-4.TCT - ESD Protection Device, TVS, 17.5 V, SOT-23, 6 Pins, 5 V, 300 W","SOT-23","Mouser","C13612","Semtech","SRV05-4.TCT","SRV05-4.TCT"
"3","SB1, SB2, SB3","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 0603 ROHS","0603","","","","","Solderbridge"
"1","U4","2.5MHz 1.0A Synchronous Step Down Regulator in SOT23-5","SOT-23-5","","","Semtech","SC4626ZSKTRT","SC4626ZSKTRT"
"2","R25, R26","Chip Resistor, 100 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","0805","Digi-Key","","Yageo","RC0805FR-07100KL","RC0805FR-07100KL"
"1","Q1","NST847BDP6T5G Series 45 V 100 mA Dual NPN General Purpose Transistor - SOT-963","","LCSC","","ON Semiconductor","NST847BDP6T5G","NST847BDP6T5G"
"1","LD3","NeoPixel Addressable 1515 LEDs (1.5mm x 1.5mm) - 10 pack","","Mouser","","Adafruit Industries","4492","NeoPixel 1515"
"1","T1","P-Channel Enhancement Mode Field Effect Transistor 60V 0.12A 10Ohm 3-Pin SOT-23 Surface Mount T/R","SOT-23-3","","","ON Semiconductor","NDS0610-G","NDS0610-G"
"1","U3","USB/AC Battery Charger with Power Path Management 20 QFN 4x4x0.9mm TUBE RoHS Compliant: Yes","QFN","Mouser","","Microchip","MCP73871-1CCI/ML","MCP73871-1CCI/ML"
"2","M1, M2","M3 Mountinghole","","","","","","M3 Mountinghole"
"1","BAT1","3.7VWire Lead Term Rechargeable Lithium Battery Pack For Power Supply, 2000mAh","","Eckstein","","MIKROE","MIKROE-1120","LiPo Akku"
"1","D1","5V 5.6V Bidirectional 18.6V 9.4A (8/20us) SOD-523 ESD Protection Devices ROHS","SOD-523","Mouser","C383211","MCC","ESD5V0D5B-TP","LESD5D5.0CT1G"
"1","LD4","LED Uni-Color Red 630nm 2-Pin Chip LED T/R","0603","Digi-Key","C2286","Wurth Electronics","150060RS55040","KT-0603R"
"1","B2","Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 200000Cycles 2N SMD Automotive T/R","","Mouser","C221747","ITT C&K","KMR221NGLFS","KMR221NGLFS"
"1","CN1","CML 1769 LMP T-1 3/4 INC Midget Screw .2A 2.5V Part of the VCC Family of Products","","Mouser","","Adafruit Industries","1769","JST-PH-2"
"2","B1, B4","SWITCH TACTILE SPST-NO 0.05A 12V","","Mouser","C388883","Panasonic","EVQP7C01P","EVQP7C01P"
"1","U1","2.4 GHz WiFi, (802.11 b/g/n) and Bluetooth 5 module, Built around ESP32-C3, RISCV, singlecore, 4 MB flash, 15 GPIOs, Onboard","","Digi-Key","","Espressif Systems","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02"
"1","R9","","","Mouser","","Panasonic","ERJ3EKF1001V","ERJ-3EKF1001V"
"1","R6","665kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS","0402","Digi-Key","","Vishay","CRCW0402665KFKED","CRCW0402665KFKED"
"2","R10, R11","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","","","","Vishay","CRCW060310K0FKEA","CRCW060310K0FKEA"
"3","C2, C8, C9","SAMSUNG ELECTRO-MECHANICS - CL31A106KBHNNNE - SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, CL Series","1206","Mouser","C13585","Samsung","CL31A106KACLNNC","CL31A106KBHNNNE"
"2","C4, C5","Ceramic capacitor SMD-0603 22pF /50V NP0# J +-5%, Samsung, RoHS","0603","Mouser","C1653","Samsung","CL10C220JB8NNNC","CL10C220JB8NNNC"
"3","C10, C11, C12","Ceramic capacitor SMD 0603 4.7 µF 16 V 10 %","0603","Mouser","C19666","Samsung","CL10A475KO8NNNC","CL10A475KO8NNNC"
"1","C13","Ceramic capacitor SMD-0603 22uF /50V NP0# J +-5%, Samsung, RoHS","0603","Digi-Key","C1653","Samsung","CL10A226KQ8NRNE","CL10A226KQ8NRNE"
"2","C3, C14","Cap Ceramic 1uF 50V X5R 10% SMD 0603 85C Cardboard T/R","0603","Mouser","C15849","Samsung","CL10A105KB8NNNC","CL10A105KB8NNNC"
"6","C1, C6, C7, C15, C16, C17","Cap Ceramic 0.1uF 50V X7R 10% SMD 0603 125C Paper T/R","0603","Digi-Key","C14663","Samsung","CL10B104KB8NNWC","CC0603KRX7R9BB104"
"1","Q2","55V, Dual N-Ch, 35 m? max, Automotive MOSFET, SO8, OptiMOS™, PG-DSO-8-7, RoHS","SOIC","Mouser","","Infineon","BSO604NS2XUMA1","BSO604NS2XUMA1"
"1","U2","Pressure, Temperature and Humidity Sensor Digital Output 1.8V 8-Pin LGA","LGA","Digi-Key","","Bosch Tools","BME680","BME680"
"1","B3","Switch Tactile N.O. SPST Square Button Gull Wing 0.05A 12VDC 0.98N SMD Bulk","SMD/SMT","Mouser","","APEM","ADTSM644KV","ADTSM644KV"
"1","CN2","USB Type - Connector, Mid-mount, SMT, CH-0.52, 16pos","","Mouser","","Molex","216990-0001","216990-0001"
"1","R13","5.6kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","LCSC","C23189","Panasonic","ERJU03F5601V","0603WAF5601T5E"
"2","R17, R18","5.1kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C23186","Panasonic","ERJU03F5101V","0603WAF5101T5E"
"4","R15, R19, R20, R21","470O ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C23179","Panasonic","ERJU03F4700V","0603WAF4700T5E"
"1","R8","330kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","LCSC","","Uniroyal","0603WAF3303T5E","0603WAF3303T5E"
"1","R14","22kO ±1% 0.1W ±200ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C31850","Panasonic","ERJU03F2202V","0603WAF2202T5E"
"1","R12","110kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","LCSC","","Uniroyal","0603WAF1103T5E","0603WAF1103T5E"
"1","R1","10kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","Mouser","C25804","Panasonic","ERJU03F1002V","0603WAF1002T5E"
"2","R7, R16","1kO ±1% 0.1W ±100ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","LCSC","C21190","Uniroyal","0603WAF1001T5E","0603WAF1001T5E"
"5","R2, R3, R22, R23, R24","0O ±1% 0.1W ±200ppm/? 0603 Chip Resistor - Surface Mount RoHS","0603","","C21189","Royal Electronic Factory","0603WAF0000T5E","0603WAF0000T5E"
"2","R4, R5","100kO ±1% 0.0625W ±100ppm/? 0402 Chip Resistor - Surface Mount RoHS","0402","Mouser","C25741","Panasonic","ERJ-2RKF1003X","0402WGF1003TCE"
"3","LD1, LD2, LD6","LED Uni-Color Green 518nm 2-Pin Chip LED T/R","0603","Farnell","C72043","Wurth Electronics","150060GS84000","19-217/GHC-YR1S2/3T"
"1","LD5","SMD LED yellow 1.7. . .2.3 V 0603, 19-213/Y2C-CQ2R2L/3T, Everlight Electronics","0603","Digi-Key","C72038","Wurth Electronics","150060YS55040","19-213/Y2C-CQ2R2L/3T"
